description,category
Uber ride,Travel
Lunch at Subway,Food
Movie ticket,Entertainment
Electricity bill,Bills
Bus ticket,Travel
Netflix subscription,Entertainment
Dinner at KFC,Food
Flight,Travel
Taxi,Travel
Mobile recharge,Bills
recharge,Bills
restaurant,Food
Grocery,Food
Amazon,Shopping
H&M,Shopping
courses,Education
Books,Education
stationery,Education
school,Education
hospital,health
doctor,health
medicine,health
gym,health
Insurance,Investment
Mutual funds,Investment
stocks,Investment
coffee,Food
tea,Food
snacks,Food
lunch,Food
